activity_id,customer_id,activity_date,activity_type
ACT0000064,CUST004221,,login
ACT0000065,CUST007336,09-09-2025,cart_add
ACT0000066,CUST008820,2023-08-30,email_open
ACT0000067,CUST008493,25-07-2024,app_open
ACT0000068,CUST007112,01-01-2025,login
ACT0000069,CUST002809,2023-03-23,email_click
ACT0000070,CUST004511,29-04-2026,login
ACT0000071,CUST008059,03 Mar 2025,app_open
ACT0000072,CUST007814,09 Jan 2024,login
ACT0000073,CUST003338,2025-01-28,login
ACT0000074,CUST008679,2025-02-22,purchase
ACT0000075,CUST006904,2026-02-01,email_click
ACT0000076,CUST004536,2024-04-17,purchase
ACT0000077,CUST006590,03/11/2025,email_click
ACT0000078,CUST004010,02-10-2024,cart_add
ACT0000079,CUST008986,25-02-2025,email_open
ACT0000080,CUST001784,01/23/2023,support_ticket
ACT0000081,CUST005846,2025-11-08,app_open
ACT0000082,CUST009195,2024-01-28,purchase
ACT0000083,CUST005907,2024-03-22,email_click
ACT0000084,CUST004450,09-01-2026,email_click
ACT0000085,CUST003492,2026-07-15,support_ticket
ACT0000086,CUST008216,2024-10-25,email_click
ACT0000087,CUST008289,2025-12-27,email_open
ACT0000088,CUST007573,2023-12-08,app_open
ACT0000089,CUST007526,,purchase
ACT0000090,CUST008178,2025-04-20,app_open
ACT0000091,CUST005892,2023-02-07,purchase
ACT0000092,CUST005673,2025-06-22,purchase
ACT0000093,CUST000587,03/02/2023,login
ACT0000094,CUST005441,04/05/2023,page_view
ACT0000095,CUST008317,2023-04-20,purchase
ACT0000096,CUST003275,2025-07-31,support_ticket
ACT0000097,CUST006673,2024-07-10,login
ACT0000098,CUST008568,18-02-2023,email_click
ACT0000099,CUST004546,2026-04-03,login
ACT0000100,CUST003235,2025-04-14,support_ticket
ACT0000101,CUST009070,2026-04-18,page_view
ACT0000102,CUST007844,01/19/2026,app_open
ACT0000103,CUST004741,2026-02-06,email_click
ACT0000104,CUST009728,2025-02-20,app_open
ACT0000105,CUST002909,26 Jun 2026,support_ticket
ACT0000106,CUST009203,2023-04-13,page_view
ACT0000107,CUST002407,2023-12-22,support_ticket
ACT0000108,CUST008903,2026-07-21,email_open
ACT0000109,CUST009472,2023-02-01,email_open
ACT0000110,CUST003999,17-08-2025,support_ticket
ACT0000111,CUST006405,2026-06-17,login
ACT0000112,CUST007621,,app_open
ACT0000113,CUST000735,2023-02-05,page_view
ACT0000114,CUST005619,2023-02-19,cart_add
ACT0000115,CUST005299,2023-10-13,app_open
ACT0000116,CUST004477,11/12/2024,purchase
ACT0000117,CUST002082,02-05-2026,login
ACT0000118,CUST002029,07-02-2026,purchase
ACT0000119,CUST004196,2026-06-03,cart_add
ACT0000120,CUST001606,2026-05-08,cart_add
ACT0000121,CUST005270,23-04-2024,email_open
ACT0000122,CUST003435,21-07-2026,login
ACT0000123,CUST006564,2024-12-14,support_ticket
ACT0000124,CUST009001,2024-08-14,email_click
ACT0000125,CUST003653,19-10-2024,purchase
ACT0000126,CUST007899,27-12-2023,email_open
ACT0000127,CUST006903,,page_view
ACT0000128,CUST006376,2025-08-02,email_open
ACT0000129,CUST003315,06/26/2025,email_open
ACT0000130,CUST007602,2025-12-18,support_ticket
ACT0000131,CUST006645,10 Sep 2023,login
ACT0000132,CUST004123,2023-05-10,support_ticket
ACT0000133,CUST004010,2023-09-27,page_view
ACT0000134,CUST005503,2024-10-15,email_open
ACT0000135,CUST009165,2025-02-02,email_open
ACT0000136,CUST002428,10/05/2024,app_open
ACT0000137,CUST006658,2026-03-02,page_view
ACT0000138,CUST001499,2025-06-22,cart_add
ACT0000139,CUST007530,2024-12-10,page_view
ACT0000140,CUST005188,2026-04-06,app_open
ACT0000141,CUST002298,2025-07-31,support_ticket
ACT0000142,CUST007172,08 Nov 2025,email_click
ACT0000143,CUST001755,2023-12-25,support_ticket
ACT0000144,CUST000147,2025-09-17,email_click
ACT0000145,CUST002805,2026-03-13,email_open
ACT0000146,CUST000337,2024-08-29,app_open
ACT0000147,CUST008313,05/03/2026,cart_add
ACT0000148,CUST000264,09-03-2023,cart_add
ACT0000149,CUST009875,2024-01-26,login
ACT0000150,CUST007941,26-06-2026,purchase
ACT0000151,CUST007175,05-10-2023,app_open
ACT0000152,CUST006232,11/21/2023,email_click
ACT0000153,CUST006225,2023-09-24,email_open
ACT0000154,CUST006039,2023-05-04,support_ticket
ACT0000155,CUST005638,2025-05-16,purchase
ACT0000156,CUST002162,2023-05-23,page_view
ACT0000157,CUST005543,07 May 2023,email_open
ACT0000158,CUST003399,2025-12-04,support_ticket
ACT0000159,CUST001642,2023-10-10,email_click
ACT0000160,CUST008415,19-10-2024,email_click
ACT0000161,CUST003065,2023-06-30,app_open
ACT0000162,CUST003367,2026-05-08,support_ticket
ACT0000163,CUST001417,25-09-2025,login
ACT0000164,CUST009834,11-03-2026,login
ACT0000165,CUST008985,2024-08-29,email_click
ACT0000166,CUST002806,2025-03-18,cart_add
ACT0000167,CUST003044,02-07-2023,app_open
ACT0000168,CUST002422,,page_view
ACT0000169,CUST004765,2025-09-28,purchase
ACT0000170,CUST005152,2024-08-21,email_click
ACT0000171,CUST001367,22-05-2023,purchase
ACT0000172,CUST003458,12/08/2023,purchase
ACT0000173,CUST003714,2024-07-18,email_open
ACT0000174,CUST008453,2025-11-25,email_click
ACT0000175,CUST004257,2025-10-17,purchase
ACT0000176,CUST005061,2025-04-26,cart_add
ACT0000177,CUST001536,2025-01-01,purchase
ACT0000178,CUST008339,2025-09-07,cart_add
ACT0000179,CUST005230,03/17/2025,email_click
ACT0000180,CUST008301,02/14/2025,email_open
ACT0000181,CUST009672,06/06/2025,cart_add
ACT0000182,CUST004683,05 Mar 2025,email_open
ACT0000183,CUST002198,2023-01-07,page_view
ACT0000184,CUST007039,2024-08-24,email_open
ACT0000185,CUST009929,2024-04-11,email_open
ACT0000186,CUST008576,09/24/2024,page_view
ACT0000187,CUST000317,2023-05-09,support_ticket
ACT0000188,CUST001229,04-05-2026,support_ticket
ACT0000189,CUST001617,06/06/2023,login
ACT0000190,CUST008799,28-06-2025,email_open
ACT0000191,CUST009555,2023-01-21,login
ACT0000192,CUST004890,2023-08-14,purchase
ACT0000193,CUST008410,2023-10-23,app_open
ACT0000194,CUST004609,07/23/2023,app_open
ACT0000195,CUST005901,09/06/2025,login
ACT0000196,CUST002547,2023-03-18,support_ticket
ACT0000197,CUST002659,2025-11-12,email_open
ACT0000198,CUST003717,2023-04-12,purchase
ACT0000199,CUST001241,07/25/2023,cart_add
ACT0000200,CUST008892,2025-04-27,page_view
ACT0000201,CUST003742,2024-09-01,cart_add
ACT0000202,CUST009373,13-12-2025,cart_add
ACT0000203,CUST008484,06/05/2023,page_view
ACT0000204,CUST006568,21-12-2025,purchase
ACT0000205,CUST005262,2026-01-24,purchase
ACT0000206,CUST009197,03/08/2024,
ACT0000207,CUST005277,17-04-2023,email_open
ACT0000208,CUST003836,10/29/2024,app_open
ACT0000209,CUST003547,09 Mar 2026,email_click
ACT0000210,CUST001291,2025-12-07,cart_add
ACT0000211,CUST006579,01 Feb 2024,support_ticket
ACT0000212,CUST006279,2026-06-24,page_view
ACT0000213,CUST001296,2026-05-29,email_open
ACT0000214,CUST006138,16-03-2024,page_view
ACT0000215,CUST006104,2024-04-05,app_open
ACT0000216,CUST008470,28-07-2026,cart_add
ACT0000217,CUST007041,2025-05-06,email_open
ACT0000218,CUST001657,2025-08-17,page_view
ACT0000219,CUST007418,2023-08-08,email_open
ACT0000220,CUST005463,17-01-2025,login
ACT0000221,CUST003519,2023-02-24,email_open
ACT0000222,CUST001334,16 Oct 2024,page_view
ACT0000223,CUST005296,2025-08-04,support_ticket
ACT0000224,CUST008045,2025-04-11,support_ticket
ACT0000225,CUST002065,2025-03-28,cart_add
ACT0000226,CUST006610,2023-02-01,cart_add
ACT0000227,CUST001638,2024-01-07,cart_add
ACT0000228,CUST005702,01/24/2024,support_ticket
ACT0000229,CUST007629,2025-12-10,purchase
ACT0000230,CUST008708,2023-08-27,page_view
ACT0000231,CUST004765,2025-09-18,app_open
ACT0000232,CUST005627,02-06-2023,login
ACT0000233,CUST008938,2023-07-03,purchase
ACT0000234,CUST001397,2026-03-17,page_view
ACT0000235,CUST003892,08-07-2023,email_click
ACT0000236,CUST006399,2023-03-11,purchase
ACT0000237,CUST008405,16 Feb 2025,page_view
ACT0000238,CUST007975,09/06/2023,purchase
ACT0000239,CUST001728,2024-10-04,cart_add
ACT0000240,CUST001117,2024-11-14,email_open
ACT0000241,CUST001263,2025-03-15,login
ACT0000242,CUST000464,06/17/2024,email_click
ACT0000243,CUST002548,24-01-2023,purchase
ACT0000244,CUST008529,2026-05-30,support_ticket
ACT0000245,CUST007005,04/15/2025,purchase
ACT0000246,CUST001388,2026-01-18,cart_add
ACT0000247,CUST003796,2024-11-26,purchase
ACT0000248,CUST000346,2024-09-13,purchase
ACT0000249,CUST004474,06/28/2023,cart_add
ACT0000250,CUST008030,10/07/2023,page_view
ACT0000251,CUST006191,2026-01-29,login
ACT0000252,CUST003693,,login
ACT0000253,CUST001027,2026-04-27,email_click
ACT0000254,CUST009084,20-07-2025,email_click
ACT0000255,CUST006386,,support_ticket
ACT0000256,CUST007686,14 Feb 2026,email_open
ACT0000257,CUST001158,2023-04-10,email_open
ACT0000258,CUST002497,05/19/2026,purchase
ACT0000259,CUST005547,2025-01-10,cart_add
ACT0000260,CUST003910,2026-07-27,purchase
ACT0000261,CUST002701,,purchase
ACT0000262,CUST000194,2025-04-08,purchase
ACT0000263,CUST007889,2024-03-09,app_open
ACT0000264,CUST006903,15-09-2025,email_click
ACT0000265,CUST004027,2025-05-04,page_view
ACT0000266,CUST002995,2025-05-03,support_ticket
ACT0000267,CUST003192,02-07-2026,email_click
ACT0000268,CUST003843,12-10-2025,app_open
ACT0000269,CUST000797,2026-02-15,email_click
ACT0000270,CUST006280,19-08-2023,cart_add
ACT0000271,CUST008506,2024-02-02,app_open
ACT0000272,CUST005811,2024-12-06,login
ACT0000273,CUST003887,2023-06-05,cart_add
ACT0000274,CUST003042,2026-05-20,email_open
ACT0000275,CUST002141,31-03-2025,support_ticket
ACT0000276,CUST009315,2023-11-06,email_click
ACT0000277,CUST004208,2025-04-28,email_open
ACT0000278,CUST007405,13-01-2026,page_view
ACT0000279,CUST005221,2025-01-02,app_open
ACT0000280,CUST007969,2024-12-15,support_ticket
ACT0000281,CUST005626,2023-09-04,email_open
ACT0000282,CUST004054,2023-08-30,email_open
ACT0000283,CUST004588,,email_click
ACT0000284,CUST008104,06-03-2025,email_open
ACT0000285,CUST007747,2024-04-04,page_view
ACT0000286,CUST003247,2026-01-30,page_view
ACT0000287,CUST000366,2023-08-27,page_view
ACT0000288,CUST007905,05/24/2026,cart_add
ACT0000289,CUST006968,2023-05-27,login
ACT0000290,CUST007673,2024-01-16,email_open
ACT0000291,CUST005778,,page_view
ACT0000292,CUST004667,2023-03-16,login
ACT0000293,CUST006261,2023-11-21,purchase
ACT0000294,CUST007464,2026-01-26,purchase
ACT0000295,CUST000809,2024-03-08,login
ACT0000296,CUST004134,,email_click
ACT0000297,CUST002366,2025-04-19,app_open
ACT0000298,CUST006648,2026-02-17,email_open
ACT0000299,CUST004598,02/24/2024,login
ACT0000300,CUST005294,2023-03-01,purchase
ACT0000301,CUST009748,04/09/2023,app_open
ACT0000302,CUST000328,05/16/2026,login
ACT0000303,CUST004569,08/02/2023,login
ACT0000304,CUST005629,2025-08-25,purchase
ACT0000305,CUST005815,19 Nov 2024,purchase
ACT0000306,CUST000849,2025-05-06,email_open
ACT0000307,CUST007095,2025-05-19,cart_add
ACT0000308,CUST004141,2024-01-08,app_open
ACT0000309,CUST002497,19-10-2023,app_open
ACT0000310,CUST001137,05/19/2026,login
ACT0000311,CUST007425,2024-09-27,email_click
ACT0000312,CUST005360,2024-07-29,cart_add
ACT0000313,CUST003785,2025-09-26,email_open
ACT0000314,CUST007769,2024-12-03,page_view
ACT0000315,CUST002079,2023-05-06,email_open
ACT0000316,CUST007902,,cart_add
ACT0000317,CUST000128,2024-04-02,page_view
ACT0000318,CUST001217,08/16/2025,support_ticket
ACT0000319,CUST000140,10/04/2024,purchase
ACT0000320,CUST005077,2026-07-08,app_open
ACT0000321,CUST009497,2025-07-28,purchase
ACT0000322,CUST006219,08-06-2023,email_open
ACT0000323,CUST008268,23 Feb 2025,email_open
ACT0000324,CUST000490,2024-05-31,login
ACT0000325,CUST005930,14-09-2024,page_view
ACT0000326,CUST006352,2024-08-06,login
ACT0000327,CUST006114,2026-07-20,email_click
ACT0000328,CUST002667,,cart_add
ACT0000329,CUST004208,2023-09-10,login
ACT0000330,CUST007477,2025-08-25,login
ACT0000331,CUST002900,,email_open
ACT0000332,CUST004790,2023-01-20,app_open
ACT0000333,CUST004931,03/10/2025,cart_add
ACT0000334,CUST001608,2026-07-07,page_view
ACT0000335,CUST002135,15-06-2024,support_ticket
ACT0000336,CUST008054,,app_open
ACT0000337,CUST004375,31-12-2025,login
ACT0000338,CUST005924,05/17/2025,support_ticket
ACT0000339,CUST004434,2025-12-28,email_click
ACT0000340,CUST004504,2025-04-12,support_ticket
ACT0000341,CUST004008,10/21/2025,support_ticket
ACT0000342,CUST007780,2024-03-12,support_ticket
ACT0000343,CUST005131,2024-06-13,email_open
ACT0000344,CUST002261,2025-12-29,support_ticket
ACT0000345,CUST003457,2023-11-02,email_open
ACT0000346,CUST007319,10-04-2026,purchase
ACT0000347,CUST001965,25-07-2023,page_view
ACT0000348,CUST002264,2024-09-24,page_view
ACT0000349,CUST003595,2023-09-23,cart_add
ACT0000350,CUST009501,2025-12-15,login
ACT0000351,CUST000661,2023-08-03,email_open
ACT0000352,CUST003268,02-08-2025,app_open
ACT0000353,CUST003348,2026-06-25,cart_add
ACT0000354,CUST004290,15-03-2026,cart_add
ACT0000355,CUST006141,2025-08-10,app_open
ACT0000356,CUST008093,04 Jun 2024,app_open
ACT0000357,CUST003729,2026-04-27,email_click
ACT0000358,CUST004382,2024-09-05,page_view
ACT0000359,CUST007566,25-01-2023,support_ticket
ACT0000360,CUST001811,2025-07-26,app_open
ACT0000361,CUST003736,29-06-2024,email_click
ACT0000362,CUST008622,14-07-2026,cart_add
ACT0000363,CUST005895,2024-11-23,purchase
ACT0000364,CUST006566,2023-02-03,support_ticket
ACT0000365,CUST001579,31-08-2023,login
ACT0000366,CUST007378,01/13/2024,email_open
ACT0000367,CUST004609,08/03/2025,cart_add
ACT0000368,CUST007805,19-03-2023,purchase
ACT0000369,CUST008605,11-07-2026,support_ticket
ACT0000370,CUST007633,09/14/2024,cart_add
ACT0000371,CUST006668,08/23/2023,purchase
ACT0000372,CUST001500,2024-06-13,email_open
ACT0000373,CUST003518,17-01-2024,app_open
ACT0000374,CUST001640,2023-05-15,purchase
ACT0000375,CUST001419,08/01/2023,login
ACT0000376,CUST002111,2025-03-20,cart_add
ACT0000377,CUST009236,12-03-2023,support_ticket
ACT0000378,CUST003499,09 Mar 2026,support_ticket
ACT0000379,CUST005480,07/12/2026,login
ACT0000380,CUST005936,2026-03-19,email_open
ACT0000381,CUST002516,10/07/2025,email_click
ACT0000382,CUST008957,2023-10-23,app_open
ACT0000383,CUST002616,2023-02-07,cart_add
ACT0000384,CUST000842,07/13/2024,app_open
ACT0000385,CUST003951,2024-09-30,support_ticket
ACT0000386,CUST002943,15-06-2023,login
ACT0000387,CUST009712,,email_click
ACT0000388,CUST001733,31-08-2024,support_ticket
ACT0000389,CUST001024,05-03-2026,support_ticket
ACT0000390,CUST000266,12-05-2026,email_open
ACT0000391,CUST004616,12-01-2025,login
ACT0000392,CUST001440,,app_open
ACT0000393,CUST000923,04 Dec 2024,email_open
ACT0000394,CUST000135,2025-03-12,page_view
ACT0000395,CUST006186,2025-09-17,support_ticket
ACT0000396,CUST006327,2025-03-09,page_view
ACT0000397,CUST007977,2024-04-22,app_open
ACT0000398,CUST009826,15-12-2025,email_open
ACT0000399,CUST000326,2023-12-13,support_ticket
ACT0000400,CUST008325,2024-09-06,page_view
ACT0000401,CUST008707,2023-10-26,email_click
ACT0000402,CUST003138,13 Apr 2025,email_open
ACT0000403,CUST004281,04/14/2023,page_view
ACT0000404,CUST002039,2024-10-06,login
ACT0000405,CUST002941,2023-07-23,page_view
ACT0000406,CUST006739,10 Sep 2025,page_view
ACT0000407,CUST006221,2024-01-05,email_click
ACT0000408,CUST006080,2024-09-21,email_click
ACT0000409,CUST004474,2023-02-08,login
ACT0000410,CUST008652,15-09-2025,email_open
ACT0000411,CUST005294,2024-04-22,email_open
ACT0000412,CUST009899,22-01-2024,page_view
ACT0000413,CUST004811,02-09-2024,purchase
ACT0000414,CUST005676,22-02-2024,page_view
ACT0000415,CUST006480,2026-01-07,login
ACT0000416,CUST005805,2025-05-04,purchase
ACT0000417,CUST004520,04-03-2023,cart_add
ACT0000418,CUST004225,28 May 2025,email_click
ACT0000419,CUST001706,2026-04-29,email_open
ACT0000420,CUST004355,2024-09-27,purchase
ACT0000421,CUST009665,10-03-2026,email_click
ACT0000422,CUST007248,2024-12-10,support_ticket
ACT0000423,CUST005185,2025-10-20,support_ticket
ACT0000424,CUST001644,2025-04-26,page_view
ACT0000425,CUST003303,06/05/2025,email_click
ACT0000426,CUST002407,03-02-2025,email_open
ACT0000427,CUST008390,2025-05-30,app_open
ACT0000428,CUST006310,2025-05-10,login
ACT0000429,CUST006523,2026-07-10,login
ACT0000430,CUST001646,11 May 2024,cart_add
ACT0000431,CUST004533,2023-05-26,email_open
ACT0000432,CUST008160,2026-05-29,email_click
ACT0000433,CUST007092,2026-06-26,purchase
ACT0000434,CUST003862,2025-08-13,cart_add
ACT0000435,CUST007428,30-10-2023,purchase
ACT0000436,CUST003161,02/03/2025,app_open
ACT0000437,CUST007103,03/01/2026,page_view
ACT0000438,CUST001542,2025-03-28,email_open
ACT0000439,CUST007818,08-11-2025,page_view
ACT0000440,CUST005003,2024-01-08,app_open
ACT0000441,CUST002233,2024-10-09,app_open
ACT0000442,CUST004532,04/28/2025,email_open
ACT0000443,CUST009020,14-10-2023,app_open
ACT0000444,CUST006965,2024-11-26,support_ticket
ACT0000445,CUST007294,2023-08-18,email_open
ACT0000446,CUST001373,2025-12-21,email_click
ACT0000447,CUST002748,2025-08-18,email_click
ACT0000448,CUST007547,2024-10-14,email_click
ACT0000449,CUST007424,2023-04-25,cart_add
ACT0000450,CUST000824,2026-07-07,email_open
ACT0000451,CUST008840,06-10-2024,support_ticket
ACT0000452,CUST008870,03/01/2023,app_open
ACT0000453,CUST004129,03-07-2026,app_open
ACT0000454,CUST007774,,support_ticket
ACT0000455,CUST004024,2025-02-09,email_open
ACT0000456,CUST004248,2024-02-29,login
ACT0000457,CUST003975,2025-11-04,email_click
ACT0000458,CUST007141,07 Jul 2023,app_open
ACT0000459,CUST009130,2023-12-02,login
ACT0000460,CUST000469,2023-04-22,app_open
ACT0000461,CUST006678,03/29/2025,page_view
ACT0000462,CUST002815,2024-03-11,login
ACT0000463,CUST008248,2023-07-18,login
ACT0000464,CUST000200,29-10-2024,support_ticket
ACT0000465,CUST005011,2024-04-19,email_open
ACT0000466,CUST006393,2026-06-03,support_ticket
ACT0000467,CUST006717,2026-07-27,support_ticket
ACT0000468,CUST007220,2023-06-07,email_open
ACT0000469,CUST002360,2025-07-13,cart_add
ACT0000470,CUST008581,2024-08-17,support_ticket
ACT0000471,CUST004546,2026-06-25,purchase
ACT0000472,CUST004137,08/24/2025,cart_add
ACT0000473,CUST008733,09-01-2026,email_click
ACT0000474,CUST009794,2024-05-16,email_open
ACT0000475,CUST008282,19-07-2026,app_open
ACT0000476,CUST007222,03/27/2023,cart_add
ACT0000477,CUST000237,2025-05-26,login
ACT0000478,CUST001645,2024-08-29,cart_add
ACT0000479,CUST000724,22-04-2024,cart_add
ACT0000480,CUST009329,05/21/2024,email_open
ACT0000481,CUST005704,2025-11-08,cart_add
ACT0000482,CUST003748,2023-02-17,app_open
ACT0000483,CUST001533,2024-11-24,cart_add
ACT0000484,CUST000210,23 Feb 2026,page_view
ACT0000485,CUST002721,07/30/2023,app_open
ACT0000486,CUST004678,05/27/2024,page_view
ACT0000487,CUST003532,04-09-2024,app_open
ACT0000488,CUST005979,2023-03-28,app_open
ACT0000489,CUST002783,2025-01-20,email_click
ACT0000490,CUST004887,03/22/2024,email_open
ACT0000491,CUST004162,2025-10-12,purchase
ACT0000492,CUST002616,21-08-2023,email_open
ACT0000493,CUST004345,28-07-2023,page_view
ACT0000494,CUST006122,2023-09-07,email_click
ACT0000495,CUST003058,03 Dec 2023,email_click
ACT0000496,CUST002885,2026-02-02,purchase
ACT0000497,CUST008351,03/13/2024,app_open
ACT0000498,CUST000319,2026-03-14,email_click
ACT0000499,CUST002180,07-05-2025,login
ACT0000500,CUST001503,2023-03-18,cart_add
ACT0000501,CUST008471,05/23/2024,purchase
ACT0000502,CUST004638,2024-02-25,page_view
ACT0000503,CUST005297,2025-12-12,email_open
ACT0000504,CUST007990,2024-10-26,email_click
ACT0000505,CUST001554,25 Dec 2025,cart_add
ACT0000506,CUST008398,2025-12-29,app_open
ACT0000507,CUST001690,12/26/2023,page_view
ACT0000508,CUST006945,2023-02-18,cart_add
ACT0000509,CUST000797,2023-09-14,purchase
ACT0000510,CUST003588,2023-06-17,cart_add
ACT0000511,CUST000626,21-08-2023,email_open
ACT0000512,CUST005987,31-10-2025,email_click
ACT0000513,CUST003835,04/30/2026,cart_add
ACT0000514,CUST007486,12/25/2024,email_click
ACT0000515,CUST000600,07/24/2024,cart_add
ACT0000516,CUST007641,2024-02-29,cart_add
ACT0000517,CUST009206,08/17/2023,purchase
ACT0000518,CUST007971,02/16/2023,email_click
ACT0000519,CUST002459,2025-08-10,email_click
ACT0000520,CUST009300,2023-12-20,purchase
ACT0000521,CUST000511,21 Dec 2023,login
ACT0000522,CUST008655,2023-02-21,support_ticket
ACT0000523,CUST003993,2026-04-05,
ACT0000524,CUST009225,22 Jun 2024,purchase
ACT0000525,CUST003399,08/15/2024,email_click
ACT0000526,CUST006601,2025-01-12,cart_add
ACT0000527,CUST006943,,email_open
ACT0000528,CUST007656,2024-02-27,support_ticket
ACT0000529,CUST001090,,app_open
ACT0000530,CUST008424,01/21/2024,purchase
ACT0000531,CUST003466,05/20/2024,login
ACT0000532,CUST000368,,email_click
ACT0000533,CUST001983,12 Jul 2026,cart_add
ACT0000534,CUST007642,08-08-2024,support_ticket
ACT0000535,CUST001939,20 Dec 2025,app_open
ACT0000536,CUST008162,2024-06-21,app_open
ACT0000537,CUST002383,03-09-2023,purchase
ACT0000538,CUST002934,13-06-2025,cart_add
ACT0000539,CUST006082,2023-09-05,login
ACT0000540,CUST000124,08/03/2024,support_ticket
ACT0000541,CUST000082,01-07-2025,app_open
ACT0000542,CUST001559,04/14/2023,page_view
ACT0000543,CUST001157,2025-12-22,email_open
ACT0000544,CUST001214,09-06-2024,cart_add
ACT0000545,CUST003856,2026-03-14,email_open
ACT0000546,CUST009043,05-04-2024,support_ticket
ACT0000547,CUST004881,2023-07-03,app_open
ACT0000548,CUST005352,12-09-2025,email_open
ACT0000549,CUST002756,2023-05-09,purchase
ACT0000550,CUST002585,2024-01-09,support_ticket
ACT0000551,CUST002508,12-04-2026,email_click
ACT0000552,CUST007392,2025-10-16,cart_add
ACT0000553,CUST000801,2024-11-05,cart_add
ACT0000554,CUST002152,29 Oct 2023,cart_add
ACT0000555,CUST008504,2024-12-21,purchase
ACT0000556,CUST001407,2024-07-17,purchase
ACT0000557,CUST007310,2023-11-29,login
ACT0000558,CUST008342,04/22/2024,purchase
ACT0000559,CUST008288,10/09/2025,support_ticket
ACT0000560,CUST003976,,purchase
ACT0000561,CUST006698,06-01-2026,email_click
ACT0000562,CUST004186,2024-02-27,purchase
ACT0000563,CUST005459,2025-01-20,support_ticket
ACT0000564,CUST005152,2023-01-03,email_click
ACT0000565,CUST009633,08/27/2025,email_open
ACT0000566,CUST000891,2026-03-21,support_ticket
ACT0000567,CUST009636,27-01-2023,page_view
ACT0000568,CUST005588,2024-11-07,cart_add
ACT0000569,CUST008329,2026-02-15,app_open
ACT0000570,CUST003889,2023-04-24,cart_add
ACT0000571,CUST005737,2024-02-26,support_ticket
ACT0000572,CUST003987,05/28/2025,email_click
ACT0000573,CUST006388,04 Oct 2025,support_ticket
ACT0000574,CUST006919,03/22/2025,app_open
ACT0000575,CUST004217,01-03-2023,
ACT0000576,CUST007175,30-07-2024,support_ticket
ACT0000577,CUST001728,2025-07-27,email_click
ACT0000578,CUST007775,03/19/2025,purchase
ACT0000579,CUST006404,2025-07-26,cart_add
ACT0000580,CUST001804,2026-03-16,app_open
ACT0000581,CUST003472,2024-05-30,purchase
ACT0000582,CUST005745,25 Jun 2024,email_open
