conversion_id,customer_id,campaign_id,conversion_date,conversion_stage
CONV000144,CUST004143,CAMP0049,2024-06-27,SQL
CONV000145,CUST006845,CAMP0102,2024-04-17,MQL
CONV000146,CUST001543,CAMP0015,2026-05-14,Lead
CONV000147,CUST004131,CAMP0004,07/25/2025,MQL
CONV000148,CUST009789,CAMP0161,2026-04-12,Opportunity
CONV000149,CUST007043,CAMP0144,2023-03-08,SQL
CONV000150,CUST006349,CAMP0014,2024-07-05,Customer
CONV000151,CUST008020,CAMP0111,2025-08-27,Lead
CONV000152,CUST006028,CAMP0072,2026-06-29,Customer
CONV000153,CUST004381,CAMP0098,2026-02-02,Opportunity
CONV000154,CUST008226,CAMP0035,2025-02-10,MQL
CONV000155,CUST000124,CAMP0133,2024-11-09,Customer
CONV000156,CUST005961,CAMP0044,2023-08-01,SQL
CONV000157,CUST001755,CAMP0213,2026-01-20,Opportunity
CONV000158,CUST000751,CAMP0058,2023-01-09,Customer
CONV000159,CUST009717,CAMP0134,11-12-2023,Lead
CONV000160,CUST009545,CAMP0154,11 Jan 2023,MQL
CONV000161,CUST001251,CAMP0122,10-04-2023,Opportunity
CONV000162,CUST008798,CAMP0060,09/10/2024,Opportunity
CONV000163,CUST007211,CAMP0171,2024-03-22,Customer
CONV000164,CUST006589,CAMP0156,2024-10-17,SQL
CONV000165,CUST004856,CAMP0161,06-12-2025,Customer
CONV000166,CUST001969,CAMP0013,2026-03-23,Customer
CONV000167,CUST005220,CAMP0014,20-04-2023,Customer
CONV000168,CUST007763,CAMP0123,19-10-2024,SQL
CONV000169,CUST000314,CAMP0126,2026-07-13,Lead
CONV000170,CUST008314,CAMP0148,2024-04-02,MQL
CONV000171,CUST001017,CAMP0138,19-05-2025,Customer
CONV000172,CUST005663,CAMP0169,2025-04-24,Customer
CONV000173,CUST005657,CAMP0194,2024-10-04,MQL
CONV000174,CUST008012,CAMP0039,22-07-2025,Customer
CONV000175,CUST004104,CAMP0117,2024-03-07,Lead
CONV000176,CUST008030,CAMP0189,2023-06-27,Lead
CONV000177,CUST004875,CAMP0022,2025-03-21,Customer
CONV000178,CUST007556,CAMP0018,,Opportunity
CONV000179,CUST006354,CAMP0075,2025-12-01,Customer
CONV000180,CUST008053,CAMP0038,2025-11-22,Opportunity
CONV000181,CUST000057,CAMP0068,2023-09-15,Opportunity
CONV000182,CUST003986,CAMP0064,2025-03-15,Customer
CONV000183,CUST007938,CAMP0160,11/13/2024,SQL
CONV000184,CUST000230,CAMP0015,2026-06-29,MQL
CONV000185,CUST007588,CAMP0100,2023-08-15,Lead
CONV000186,CUST004151,CAMP0100,,MQL
CONV000187,CUST009241,CAMP0073,2025-10-28,SQL
CONV000188,CUST005309,CAMP0199,09/23/2025,Customer
CONV000189,CUST000005,CAMP0187,2026-05-29,Lead
CONV000190,CUST004535,CAMP0048,27-07-2025,Customer
CONV000191,CUST002953,CAMP0189,18-07-2024,MQL
CONV000192,CUST004670,CAMP0141,21-05-2026,SQL
CONV000193,CUST001875,CAMP0167,02/28/2025,MQL
CONV000194,CUST003877,CAMP0012,,SQL
CONV000195,CUST002764,CAMP0102,2025-11-04,Lead
CONV000196,CUST009767,CAMP0074,08-07-2025,Opportunity
CONV000197,CUST004523,CAMP0091,2024-08-11,Opportunity
CONV000198,CUST009737,CAMP0023,2025-11-01,MQL
CONV000199,CUST005994,CAMP0060,11/01/2025,SQL
CONV000200,CUST009913,CAMP0217,2023-06-27,SQL
CONV000201,CUST006443,CAMP0058,2023-12-28,MQL
CONV000202,CUST003326,CAMP0190,2023-05-25,SQL
CONV000203,CUST004410,CAMP0216,,Customer
CONV000204,CUST001504,CAMP0023,19 Mar 2024,MQL
CONV000205,CUST006574,CAMP0060,2023-11-03,MQL
CONV000206,CUST004197,CAMP0066,05 Nov 2024,Lead
CONV000207,CUST003491,CAMP0067,05/05/2024,Opportunity
CONV000208,CUST006603,CAMP0137,2025-04-07,Customer
CONV000209,CUST000025,CAMP0132,2026-01-21,SQL
CONV000210,CUST004589,CAMP0212,01/24/2025,SQL
CONV000211,CUST003256,CAMP0214,13-10-2024,Customer
CONV000212,CUST006366,CAMP0106,2025-07-23,Customer
CONV000213,CUST002454,CAMP0094,01-09-2023,SQL
CONV000214,CUST000705,CAMP0051,2023-10-16,SQL
CONV000215,CUST003730,CAMP0059,03/07/2024,Lead
CONV000216,CUST000269,CAMP0123,04/25/2025,Customer
CONV000217,CUST002951,CAMP0191,2024-02-24,Lead
CONV000218,CUST005974,CAMP0002,03/12/2024,Lead
CONV000219,CUST000238,CAMP0153,05/02/2026,Customer
CONV000220,CUST005534,CAMP0121,2026-02-16,SQL
CONV000221,CUST009002,CAMP0049,2024-05-02,Customer
CONV000222,CUST900012,CAMP0122,30-04-2025,SQL
CONV000223,CUST000338,CAMP0066,2024-04-10,Customer
CONV000224,CUST001293,CAMP0201,2025-11-27,MQL
CONV000225,CUST001287,CAMP0146,18-07-2026,MQL
CONV000226,CUST009299,CAMP0069,01/23/2025,SQL
CONV000227,CUST003836,CAMP0135,2025-02-14,MQL
CONV000228,CUST005980,CAMP0065,2025-12-03,SQL
CONV000229,CUST002557,CAMP0037,14 Mar 2023,Opportunity
CONV000230,CUST000203,CAMP0089,2023-01-08,SQL
CONV000231,CUST004096,CAMP0148,05/02/2026,SQL
CONV000232,CUST004264,CAMP0037,2025-10-01,Lead
CONV000233,CUST003241,CAMP0128,2026-03-22,SQL
CONV000234,CUST006100,CAMP0087,2023-07-03,Lead
CONV000235,CUST003393,CAMP0052,2024-05-17,Lead
CONV000236,CUST008563,CAMP0167,09-06-2023,Opportunity
CONV000237,CUST003724,CAMP0152,18-09-2023,MQL
CONV000238,CUST007541,CAMP0033,2025-08-20,Lead
CONV000239,CUST009044,CAMP0141,30-11-2025,SQL
CONV000240,CUST009571,CAMP0013,12/06/2024,Opportunity
CONV000241,CUST007270,CAMP0183,24-02-2026,Opportunity
CONV000242,CUST004380,CAMP0208,2025-06-27,Lead
CONV000243,CUST006792,CAMP0060,2025-12-22,Customer
CONV000244,CUST002821,CAMP0083,16 Nov 2024,Customer
CONV000245,CUST008989,CAMP0178,2023-01-01,Opportunity
CONV000246,CUST002163,CAMP0141,2025-08-07,Customer
CONV000247,CUST003801,CAMP0151,08/26/2024,MQL
CONV000248,CUST000455,CAMP0211,30-04-2024,Opportunity
CONV000249,CUST009222,CAMP0165,05/21/2025,Customer
CONV000250,CUST004110,CAMP0019,21-08-2025,SQL
CONV000251,CUST007132,CAMP0200,2023-11-10,Opportunity
CONV000252,CUST005673,CAMP0066,2025-12-24,MQL
CONV000253,CUST006257,CAMP0214,2026-07-12,Lead
CONV000254,CUST008540,CAMP0135,24-03-2026,SQL
CONV000255,CUST001247,CAMP0005,31-01-2026,Customer
CONV000256,CUST002777,CAMP0003,2024-07-31,Opportunity
CONV000257,CUST001088,CAMP0008,10/02/2025,MQL
CONV000258,CUST004613,CAMP0163,2026-03-18,Customer
CONV000259,CUST009605,CAMP0127,2026-01-13,Lead
CONV000260,CUST009354,CAMP0058,2024-06-01,Lead
CONV000261,CUST005087,CAMP0201,17-12-2025,MQL
CONV000262,CUST003995,CAMP0115,11/29/2024,SQL
CONV000263,CUST007798,CAMP0030,2023-04-20,MQL
CONV000264,CUST002566,CAMP0199,02/01/2025,SQL
CONV000265,CUST000724,CAMP0067,2024-08-27,MQL
CONV000266,CUST009510,CAMP0090,15-04-2026,MQL
CONV000267,CUST003958,CAMP0036,13-06-2025,Opportunity
CONV000268,CUST004440,CAMP0178,2026-04-18,SQL
CONV000269,CUST003726,CAMP0190,2024-07-27,Customer
CONV000270,CUST001823,CAMP0160,11 Sep 2025,MQL
CONV000271,CUST000962,CAMP0026,2024-02-15,SQL
CONV000272,CUST009317,CAMP0108,2023-02-25,Customer
CONV000273,CUST006173,CAMP0155,2023-06-11,MQL
CONV000274,CUST000693,CAMP0149,2023-04-04,Lead
CONV000275,CUST003271,CAMP0122,2025-11-15,SQL
CONV000276,CUST001458,CAMP0197,08-05-2026,Customer
CONV000277,CUST009857,CAMP0101,07/18/2024,SQL
CONV000278,CUST000331,CAMP0193,2026-04-06,Opportunity
CONV000279,CUST001492,CAMP0014,2024-09-24,MQL
CONV000280,CUST008003,CAMP0006,07/20/2026,Opportunity
CONV000281,CUST009656,CAMP0038,10-11-2024,Opportunity
CONV000282,CUST000075,CAMP0052,09 Sep 2024,Lead
CONV000283,CUST005926,CAMP0070,17 Apr 2023,Customer
CONV000284,CUST003875,CAMP0039,2024-02-04,SQL
CONV000285,CUST000555,CAMP0043,2026-07-31,MQL
CONV000286,CUST003116,CAMP0102,2024-08-08,SQL
CONV000287,CUST000091,CAMP0125,09-12-2023,Customer
CONV000288,CUST004786,CAMP0146,13-07-2024,Lead
CONV000289,CUST006717,CAMP0085,02/21/2023,Customer
CONV000290,CUST008331,CAMP0219,28-11-2023,MQL
CONV000291,CUST000705,CAMP0045,2025-01-28,Opportunity
CONV000292,CUST001771,CAMP0213,2023-08-27,SQL
CONV000293,CUST001689,CAMP0123,2025-03-31,MQL
CONV000294,CUST001002,CAMP0080,23-05-2025,Lead
CONV000295,CUST007693,CAMP0024,2023-02-20,Lead
CONV000296,CUST008819,CAMP0110,2025-04-14,MQL
CONV000297,CUST003239,CAMP0054,2023-11-30,SQL
CONV000298,CUST004485,CAMP0062,2023-02-07,Opportunity
CONV000299,CUST001646,CAMP0050,,MQL
CONV000300,CUST006237,CAMP0159,2024-09-13,Customer
CONV000301,CUST008664,CAMP0218,2025-05-13,SQL
CONV000302,CUST005440,CAMP0025,02-06-2026,Opportunity
CONV000303,CUST007755,CAMP0178,26 Dec 2024,MQL
CONV000304,CUST000819,CAMP0213,2026-05-16,Customer
CONV000305,CUST002066,CAMP0192,2023-06-09,Lead
CONV000306,CUST001249,CAMP0019,07-01-2024,MQL
CONV000307,CUST007126,CAMP0199,2026-06-19,
CONV000308,CUST007146,CAMP0056,07/21/2024,Lead
CONV000309,CUST001132,CAMP0022,2023-01-02,SQL
CONV000310,CUST004944,CAMP0148,2025-01-25,Lead
CONV000311,CUST008504,CAMP0103,2023-07-17,Opportunity
CONV000312,CUST009374,CAMP0157,19-06-2025,SQL
CONV000313,CUST007401,CAMP0180,2024-01-29,SQL
CONV000314,CUST001190,CAMP0149,15-07-2023,MQL
CONV000315,CUST007360,CAMP0078,15-11-2024,Lead
CONV000316,CUST004960,CAMP0049,2024-11-24,Opportunity
CONV000317,CUST000654,CAMP0201,,SQL
CONV000318,CUST002531,CAMP0097,2023-03-21,Opportunity
CONV000319,CUST006584,CAMP0137,2025-01-21,Lead
CONV000320,CUST002831,CAMP0211,08/12/2025,MQL
CONV000321,CUST005447,CAMP0147,11-06-2024,Lead
CONV000322,CUST007520,CAMP0109,02 Nov 2024,
CONV000323,CUST003000,CAMP0108,2023-11-27,Lead
CONV000324,CUST003379,CAMP0114,26-06-2026,SQL
CONV000325,CUST000056,CAMP0181,,Customer
CONV000326,CUST004009,CAMP0074,2023-10-07,SQL
CONV000327,CUST009303,CAMP0068,2025-05-13,Opportunity
CONV000328,CUST004514,CAMP0150,2026-04-30,Customer
CONV000329,CUST001527,CAMP0047,2024-06-06,Lead
CONV000330,CUST002347,CAMP0137,12/25/2023,SQL
CONV000331,CUST009634,CAMP0101,,Lead
CONV000332,CUST004684,CAMP0147,2023-02-08,Lead
CONV000333,CUST009738,CAMP0125,2025-07-08,Customer
CONV000334,CUST008572,CAMP0027,2023-04-23,Lead
CONV000335,CUST002278,CAMP0142,2025-03-09,Lead
CONV000336,CUST007123,CAMP0209,2023-06-26,Lead
CONV000337,CUST008804,CAMP0129,2026-02-26,MQL
CONV000338,CUST001379,CAMP0040,31-08-2023,Customer
CONV000339,CUST003833,CAMP0191,10/18/2023,SQL
CONV000340,CUST004956,CAMP0105,15 Feb 2025,Opportunity
CONV000341,CUST007543,CAMP0054,2025-04-02,SQL
CONV000342,CUST006905,CAMP0082,2025-12-15,Lead
CONV000343,CUST000318,CAMP0163,26-10-2025,Opportunity
CONV000344,CUST004135,CAMP0085,2024-11-29,MQL
CONV000345,CUST005292,CAMP0197,15 Dec 2024,MQL
CONV000346,CUST005340,CAMP0056,2023-09-10,Lead
CONV000347,CUST000780,CAMP0071,11/12/2024,Lead
CONV000348,CUST009756,CAMP0068,13-02-2023,SQL
CONV000349,CUST004460,CAMP0002,2023-07-08,Lead
CONV000350,CUST004846,CAMP0106,2025-05-01,SQL
CONV000351,CUST007417,CAMP0159,2026-05-10,Lead
CONV000352,CUST009589,CAMP0118,2023-07-13,Opportunity
CONV000353,CUST003910,CAMP0164,2026-06-21,Lead
CONV000354,CUST002528,CAMP0126,2024-07-09,
CONV000355,CUST005096,CAMP0085,2024-07-05,Customer
CONV000356,CUST007693,CAMP0112,2025-12-21,Opportunity
CONV000357,CUST009614,CAMP0191,02/10/2024,Lead
CONV000358,CUST006819,CAMP0028,28-12-2024,MQL
CONV000359,CUST001685,CAMP0074,2024-01-21,Opportunity
CONV000360,CUST002991,CAMP0212,2023-11-28,Opportunity
CONV000361,CUST009732,CAMP0142,2023-11-09,SQL
CONV000362,CUST004958,CAMP0174,24-10-2025,Opportunity
CONV000363,CUST003169,CAMP0176,01/09/2026,Lead
CONV000364,CUST004211,CAMP0125,07-03-2026,SQL
CONV000365,CUST000625,CAMP0147,2025-10-05,Opportunity
CONV000366,CUST001868,CAMP0018,2026-06-27,SQL
CONV000367,CUST002783,CAMP0014,2024-12-16,MQL
CONV000368,CUST002089,CAMP0106,2026-02-01,SQL
CONV000369,CUST008020,CAMP0179,2025-04-29,SQL
CONV000370,CUST005532,CAMP0114,07/13/2026,Opportunity
CONV000371,CUST008125,CAMP0168,2023-06-19,Opportunity
CONV000372,CUST002792,CAMP0208,2026-04-10,Customer
CONV000373,CUST000857,CAMP0034,2023-04-16,SQL
CONV000374,CUST005348,CAMP0055,2023-11-06,Lead
CONV000375,CUST008496,CAMP0159,2025-08-27,MQL
CONV000376,CUST008029,CAMP0214,2023-09-05,Lead
CONV000377,CUST001248,CAMP0199,2023-04-30,Lead
CONV000378,CUST009355,CAMP0131,2025-11-27,Opportunity
CONV000379,CUST000291,CAMP0081,13 Jan 2023,MQL
CONV000380,CUST005642,CAMP0110,09/11/2024,Opportunity
CONV000381,CUST004685,CAMP0174,03/16/2024,Lead
CONV000382,CUST001062,CAMP0047,2024-01-02,Customer
CONV000383,CUST003547,CAMP0203,2025-11-09,MQL
CONV000384,CUST900015,CAMP0174,2026-02-12,Lead
CONV000385,CUST003357,CAMP0140,2023-07-04,Customer
CONV000386,CUST002327,CAMP0151,03-11-2025,Lead
CONV000387,CUST002594,CAMP0150,30-11-2023,Lead
CONV000388,CUST008219,CAMP0122,2026-02-03,Lead
CONV000389,CUST001876,CAMP0179,2024-05-17,SQL
CONV000390,CUST009141,CAMP0117,06/12/2025,MQL
CONV000391,CUST000508,CAMP0192,01-08-2023,SQL
CONV000392,CUST009116,CAMP0075,,SQL
CONV000393,CUST004929,CAMP0153,2024-01-09,Lead
CONV000394,CUST003821,CAMP0116,2023-06-27,SQL
CONV000395,CUST003648,CAMP0028,2025-05-11,SQL
CONV000396,CUST004114,CAMP0074,2025-05-07,MQL
CONV000397,CUST001458,CAMP0195,11-08-2023,Opportunity
CONV000398,CUST002891,CAMP0214,2026-06-17,SQL
CONV000399,CUST005580,CAMP0186,2025-08-12,SQL
CONV000400,CUST008762,CAMP0021,2024-12-26,Lead
CONV000401,CUST006026,CAMP0173,2024-02-02,MQL
CONV000402,CUST008517,CAMP0125,21-05-2026,Customer
CONV000403,CUST008474,CAMP0065,15-03-2025,SQL
CONV000404,CUST001748,CAMP0015,2023-07-04,MQL
CONV000405,CUST006812,CAMP0127,2023-10-18,Lead
CONV000406,CUST005840,CAMP0130,2026-03-22,SQL
CONV000407,CUST006736,CAMP0072,30-04-2026,Opportunity
CONV000408,CUST002694,CAMP0205,2023-11-27,Opportunity
CONV000409,CUST001559,CAMP0085,2025-03-22,SQL
CONV000410,CUST005929,CAMP0099,03/03/2026,SQL
CONV000411,CUST005942,CAMP0099,2025-05-11,Opportunity
CONV000412,CUST003839,CAMP0147,21-03-2023,Customer
CONV000413,CUST005274,CAMP0204,07/07/2023,Opportunity
CONV000414,CUST001280,CAMP0199,27-08-2023,SQL
CONV000415,CUST003255,CAMP0065,2023-05-20,SQL
CONV000416,CUST000639,CAMP0198,2024-05-20,Lead
CONV000417,CUST006027,CAMP0113,02/26/2023,Lead
CONV000418,CUST003172,CAMP0197,23-02-2026,SQL
CONV000419,CUST002080,CAMP0029,05/31/2023,MQL
CONV000420,CUST009691,CAMP0181,2024-04-08,Opportunity
CONV000421,CUST006190,CAMP0199,2024-03-22,Lead
CONV000422,CUST009887,CAMP0024,07/21/2023,SQL
CONV000423,CUST000221,CAMP0036,2026-04-06,SQL
CONV000424,CUST004315,CAMP0109,2025-11-12,SQL
CONV000425,CUST008626,CAMP0092,2024-02-12,Lead
CONV000426,CUST005853,CAMP0167,2025-02-01,Opportunity
CONV000427,CUST006690,CAMP0219,2023-02-02,Opportunity
CONV000428,CUST009113,CAMP0168,01 Sep 2023,Lead
CONV000429,CUST005316,CAMP0046,09/13/2024,Opportunity
CONV000430,CUST006990,CAMP0073,,Lead
CONV000431,CUST006927,CAMP0130,2024-04-03,Opportunity
CONV000432,CUST002196,CAMP0058,22-11-2023,SQL
CONV000433,CUST008932,CAMP0192,2025-03-24,Opportunity
CONV000434,CUST003508,CAMP0179,2023-09-29,Lead
CONV000435,CUST007454,CAMP0136,2023-09-18,Lead
CONV000436,CUST007620,CAMP0122,22-07-2024,Opportunity
CONV000437,CUST009890,CAMP0078,,Lead
CONV000438,CUST003393,CAMP0028,11/26/2025,Opportunity
CONV000439,CUST001770,CAMP0080,08/11/2025,SQL
CONV000440,CUST002350,CAMP0157,2024-04-01,MQL
CONV000441,CUST001763,CAMP0040,11/25/2023,Lead
CONV000442,CUST005241,CAMP0179,2024-05-18,MQL
CONV000443,CUST009374,CAMP0097,2023-07-02,Customer
CONV000444,CUST005206,CAMP0216,12-02-2026,Lead
CONV000445,CUST009149,CAMP0201,,Lead
CONV000446,CUST007948,CAMP0083,10/12/2024,Customer
CONV000447,CUST004713,CAMP0070,2025-05-19,Customer
CONV000448,CUST003622,CAMP0068,06/20/2023,Lead
CONV000449,CUST006654,CAMP0180,2023-01-18,Opportunity
CONV000450,CUST008477,CAMP0030,2025-06-06,SQL
CONV000451,CUST008336,CAMP0048,2025-11-29,MQL
CONV000452,CUST001990,CAMP0096,2024-01-03,Lead
CONV000453,CUST004119,CAMP0195,19-12-2024,Customer
CONV000454,CUST002757,CAMP0079,2025-08-09,MQL
CONV000455,CUST006388,CAMP0164,2023-07-11,Customer
CONV000456,CUST006691,CAMP0174,22-02-2023,Lead
CONV000457,CUST009179,CAMP0088,07/03/2023,MQL
CONV000458,CUST009421,CAMP0003,15-12-2025,Lead
CONV000459,CUST004789,CAMP0204,2023-10-25,Lead
CONV000460,CUST007994,CAMP0117,2025-05-25,Lead
CONV000461,CUST006199,CAMP0098,2025-08-18,MQL
