transaction_id,customer_id,campaign_id,transaction_date,revenue
TXN0038898,CUST008242,CAMP0030,10/29/2024,478.84
TXN0008122,CUST008930,CAMP0040,20 Dec 2024,₹313.09
TXN0007107,CUST003598,CAMP0065,01-11-2024,850.42
TXN0025256,CUST006814,CAMP0109,2025-09-13,531.79
TXN0056929,CUST004914,CAMP0106,10/25/2025,1152.07
TXN0056318,CUST004193,CAMP0195,,322.98
TXN0053076,CUST000301,CAMP0034,2025-12-22,991.39
TXN0014725,CUST002897,CAMP0028,2024-12-08,6776.64
TXN0001923,CUST008093,CAMP0122,2023-12-15,1259.33
TXN0029534,CUST005633,CAMP0023,08/31/2024,1374.01
TXN0030577,CUST002937,,2024-11-05,280.36
TXN0020211,CUST006041,CAMP0030,2025-08-30,2636.98
TXN0047381,CUST003246,CAMP0013,2024-06-10,₹259.59
TXN0027514,CUST000103,CAMP0018,2024-10-24,449.03
TXN0024069,CUST002527,CAMP0194,08-11-2023,2651.18
TXN0019795,CUST005133,CAMP0087,2023-09-23,208.33
TXN0047674,CUST006935,CAMP0027,05/12/2025,555.89
TXN0042178,CUST004212,CAMP0183,2025-04-23,40.88
TXN0032985,CUST007035,CAMP0129,2025-07-17,237.88
TXN0004368,CUST005387,CAMP0074,2025-04-22,366.16
TXN0054514,CUST006372,CAMP0077,2023-12-09,₹331.01
TXN0002109,CUST007513,,2024-03-22,404.67
TXN0053688,CUST003385,CAMP0149,14-06-2025,3284.69
TXN0017261,CUST009733,CAMP0113,2024-09-05,250.13
TXN0011722,CUST005155,CAMP0106,2025-01-15,1584.15
TXN0018782,CUST000345,CAMP0104,2023-03-03,6713.9
TXN0033444,CUST003631,,13-09-2023,326.66
TXN0057994,CUST000455,CAMP0081,2024-03-08,190.89
TXN0014169,CUST001257,CAMP0046,10/19/2024,1401.46
TXN0000775,CUST004447,CAMP0059,2025-11-17,1006.32
TXN0054791,CUST009185,CAMP0049,2026-07-10,1135.27
TXN0002441,CUST007265,CAMP0005,2023-05-09,10165.71
TXN0017955,CUST006505,CAMP0070,2024-12-14,1586.29
TXN0015223,CUST009620,CAMP0161,2024-09-16,₹181.62
TXN0049923,CUST007849,CAMP0049,2025-03-23,1022.98
TXN0024027,CUST006176,CAMP0188,02/12/2023,330.62
TXN0055657,CUST005492,CAMP0109,2023-04-07,794.96
TXN0000182,CUST005692,CAMP0030,2024-05-20,8594.57
TXN0046179,CUST000507,CAMP0151,2025-07-31,2937.54
TXN0054541,CUST002702,CAMP0050,2025-05-27,553.52
TXN0018569,CUST001121,CAMP0145,2026-01-24,980.93
TXN0055672,CUST001691,CAMP0043,2023-04-15,166.27
TXN0012325,CUST003180,CAMP0161,02/21/2023,587.88
TXN0020412,CUST009932,CAMP0091,2026-04-27,2618.22
TXN0025085,CUST002053,,21-02-2024,3695.15
TXN0005513,CUST004904,CAMP0100,2024-08-02,3529.68
TXN0001498,CUST007603,CAMP0175,2023-08-08,165.48
TXN0040198,CUST008916,CAMP0023,20-02-2026,128.74
TXN0034406,CUST008735,CAMP0082,04/21/2023,806.68
TXN0012697,CUST000236,CAMP0060,07-07-2026,390.63
TXN0049780,CUST002165,CAMP0149,2025-05-26,557.61
TXN0033435,CUST007434,CAMP0151,16 Mar 2023,₹462.16
TXN0033567,CUST005224,CAMP0035,,3146.46
TXN0034745,CUST001332,CAMP0190,26-01-2024,500.72
TXN0056431,CUST000995,CAMP0118,2023-12-28,1095.86
TXN0003391,CUST003627,CAMP0208,05 Mar 2026,344.75
TXN0021640,CUST009731,CAMP0193,03 Mar 2025,21482.83
TXN0005172,CUST005374,CAMP0033,2024-11-17,5617.34
TXN0049354,CUST002256,CAMP0054,2025-08-31,36.66
TXN0000958,CUST008801,CAMP0077,2025-09-02,703.71
TXN0028656,CUST000014,CAMP0085,2023-02-10,772.43
TXN0013722,CUST001652,CAMP0078,28-05-2026,875.07
TXN0009520,CUST001137,CAMP0127,10 Sep 2024,121.87
TXN0035406,CUST006115,,2024-08-06,1018.51
TXN0050027,CUST003996,CAMP0022,2025-06-15,1073.63
TXN0004729,CUST003631,CAMP0108,2025-04-30,881.89
TXN0009927,CUST004794,CAMP0057,11-11-2025,275.75
TXN0054301,CUST001425,CAMP0020,22-03-2024,920.59
TXN0040069,CUST001736,CAMP0197,22-07-2026,564.44
TXN0002830,CUST004856,CAMP0205,05-01-2024,5150.1
TXN0019214,CUST001401,CAMP0201,02/04/2024,715.89
TXN0011899,CUST008605,CAMP0117,23-06-2026,₹15.04
TXN0048961,CUST005187,CAMP0188,12/31/2023,33.53
TXN0009454,CUST005197,CAMP0196,2024-03-06,1369.95
TXN0039360,CUST009652,CAMP0081,09/04/2025,8051.54
TXN0030569,CUST006312,CAMP0152,10-06-2026,666.64
TXN0000217,CUST005581,CAMP0189,06/22/2025,510.04
TXN0004296,CUST007843,CAMP0138,26-12-2023,2563.72
TXN0033831,CUST005417,,10-06-2026,₹784.55
TXN0014160,CUST002404,CAMP0111,2024-07-13,6885.88
TXN0052685,CUST003838,CAMP0184,2025-11-11,1842.68
TXN0047823,CUST000811,,2026-07-21,111.63
TXN0035653,CUST008914,CAMP0169,29-07-2026,246.02
TXN0047300,CUST003232,CAMP0088,16-11-2023,407.72
TXN0015244,CUST008636,CAMP0064,2024-06-20,2908.67
TXN0004758,CUST005515,CAMP0125,21-08-2023,465.14
TXN0049424,CUST000177,CAMP0125,06-05-2023,1130.82
TXN0039170,CUST002136,CAMP0054,29-03-2023,2812.7
TXN0014438,CUST007107,CAMP0017,2026-06-25,₹102.42
TXN0026938,CUST007962,CAMP0130,,1144.88
TXN0028432,CUST005186,CAMP0183,2025-07-19,210.77
TXN0043273,CUST006105,CAMP0201,2023-10-12,7922.91
TXN0029757,CUST008161,CAMP0004,2025-11-03,304.05
TXN0028917,CUST001158,CAMP0089,2025-05-25,"₹1,927.57"
TXN0037302,CUST004227,CAMP0026,05-02-2026,324.63
TXN0001154,CUST004837,CAMP0005,02/08/2023,331.77
TXN0036337,CUST001401,CAMP0178,2023-01-07,727.41
TXN0028161,CUST009803,CAMP0165,2025-08-01,931.99
TXN0006474,CUST007963,CAMP0065,2025-02-11,814.24
TXN0026527,CUST001090,CAMP0094,2025-12-04,2775.01
TXN0053641,CUST002017,CAMP0205,2024-05-19,359.24
TXN0044172,CUST001469,CAMP0195,2023-10-14,445.43
TXN0047578,CUST009360,CAMP0162,2025-02-07,3519.36
TXN0012125,CUST004519,CAMP0050,2025-12-09,1688.71
TXN0056127,CUST005782,CAMP0052,23 Jan 2024,789.57
TXN0045836,CUST005712,CAMP0090,,513.86
TXN0038078,CUST000808,CAMP0148,01-03-2024,1011.73
TXN0053181,CUST003429,CAMP0025,01/16/2026,2447.76
TXN0056084,CUST009574,CAMP0135,31-12-2025,3111.32
TXN0015299,CUST000609,CAMP0005,2023-12-08,1309.24
TXN0028115,CUST003223,CAMP0005,,448.78
TXN0043694,CUST008226,CAMP0190,2023-04-20,2511.33
TXN0046306,CUST003933,CAMP0117,20-06-2026,399.08
TXN0050636,CUST009279,CAMP0177,02-04-2024,903.39
TXN0048072,CUST002153,CAMP0096,2023-01-26,584.8
TXN0033791,CUST003401,CAMP0181,29 Oct 2024,901.3
TXN0022042,CUST002048,CAMP0181,10/10/2024,₹477.13
TXN0052687,CUST008158,CAMP0008,2025-01-31,1833.24
TXN0053028,CUST002814,CAMP0129,2023-01-07,3076.97
TXN0051424,CUST008500,,18 Nov 2024,1114.86
TXN0039671,CUST008426,CAMP0110,18 Jan 2025,82.25
TXN0002863,CUST007104,CAMP0095,04/10/2025,623.88
TXN0039608,CUST009908,CAMP0007,2023-08-22,660.79
TXN0012509,CUST006613,CAMP0039,04-01-2024,5565.99
TXN0051760,CUST002493,CAMP0114,2025-05-19,569.8
TXN0054005,CUST004021,CAMP0098,06/15/2025,323.67
TXN0056829,CUST004842,CAMP0038,02/04/2024,642.94
TXN0054938,CUST009993,CAMP0154,2024-04-21,1734.4
TXN0052893,CUST003896,CAMP0055,01/31/2023,222.67
TXN0049915,CUST008150,,2023-01-11,763.41
TXN0005410,CUST007593,CAMP0200,2024-01-07,511.65
TXN0035134,CUST009622,CAMP0210,09-02-2023,376.52
TXN0052514,CUST006791,CAMP0137,2026-06-07,311.16
TXN0004254,CUST003845,CAMP0216,24-04-2026,213.61
TXN0022355,CUST005038,CAMP0166,2025-08-08,₹702.14
TXN0042077,CUST004164,,2023-07-11,₹-780.15
TXN0044554,CUST002678,CAMP0022,2025-04-09,480.48
TXN0014562,CUST004067,,2025-01-23,33289.07
TXN0018038,CUST005509,CAMP0156,2023-02-01,248.97
TXN0013832,CUST007052,CAMP0061,24-10-2025,1520.39
TXN0014258,CUST007924,CAMP0141,23-02-2023,461.47
TXN0048316,CUST006863,CAMP0188,22-05-2023,479.65
TXN0020722,CUST004553,CAMP0166,2026-05-16,7564.43
TXN0037883,CUST009171,CAMP0176,2025-06-06,814.44
TXN0050317,CUST002551,CAMP0207,2025-08-22,4810.79
TXN0018804,CUST004709,CAMP0052,2023-11-15,242.64
TXN0022091,CUST005700,CAMP0196,2023-01-22,2590.36
TXN0041591,CUST004387,CAMP0037,04/19/2025,637.91
TXN0000573,CUST000752,CAMP0023,2024-07-14,3120.86
TXN0048108,CUST000633,CAMP0046,2025-09-09,406.39
TXN0004704,CUST001867,CAMP0166,2023-08-19,5796.29
TXN0051724,CUST007856,CAMP0150,2024-12-29,536.42
TXN0004336,CUST005568,,2023-06-15,366.57
TXN0016020,CUST009812,CAMP0078,20 Mar 2023,1663.79
TXN0031968,CUST002666,,2024-12-23,17204.3
TXN0036299,CUST004307,CAMP0177,2025-10-04,2060.65
TXN0053628,CUST001638,CAMP0140,11-02-2024,311.72
TXN0015211,CUST005105,CAMP0217,12-07-2026,735.11
TXN0027303,CUST009390,CAMP0188,2025-10-04,446.66
TXN0037701,CUST000874,CAMP0139,2025-02-06,104.61
TXN0057320,CUST001217,CAMP0220,2023-05-30,1398.41
TXN0031503,CUST005752,CAMP0084,2023-11-09,801.57
TXN0038337,CUST009758,,11 Jan 2023,27.39
TXN0042499,CUST008251,CAMP0033,2024-04-21,287.7
TXN0001717,CUST005299,CAMP0006,29-11-2025,14876.63
TXN0035527,CUST005621,CAMP0042,08/06/2024,720.87
TXN0007085,CUST005761,CAMP0082,2024-08-09,698.97
TXN0005524,CUST008845,CAMP0051,04/01/2023,499.4
TXN0028202,CUST009146,CAMP0154,09/07/2025,361.06
TXN0051629,CUST000854,CAMP0088,22-03-2025,89.8
TXN0015542,CUST009640,CAMP0043,2024-05-11,2264.29
TXN0044343,CUST004234,CAMP0057,03/16/2024,₹410.92
TXN0027298,CUST005019,CAMP0039,2025-08-24,342.08
TXN0007971,CUST005662,CAMP0159,2025-05-31,683.15
TXN0044130,CUST003130,CAMP0115,2025-08-05,2426.82
TXN0052063,CUST009762,CAMP0179,11/30/2023,154.94
TXN0030510,CUST006698,CAMP0078,2024-11-26,54.11
TXN0051140,CUST002689,CAMP0167,2023-10-30,1575.91
TXN0044271,CUST000647,CAMP0178,03-04-2024,11222.44
TXN0026303,CUST005118,CAMP0157,2024-11-05,"₹1,634.47"
TXN0043379,CUST009756,,2025-10-29,₹597.02
TXN0002787,CUST006535,CAMP0159,2026-02-15,263.15
TXN0051404,CUST008512,CAMP0057,06/08/2024,9253.38
TXN0001795,CUST001938,CAMP0161,2023-06-29,138.62
TXN0052204,CUST000284,,2025-03-26,"₹3,945.67"
TXN0021154,CUST003747,CAMP0037,07-10-2023,₹894.01
TXN0042856,CUST005339,CAMP0128,25-07-2024,1374.33
TXN0024017,CUST000692,CAMP0014,2025-11-02,1795.72
TXN0055794,CUST003350,CAMP0045,15-01-2025,2022.83
TXN0017444,CUST006394,,2023-09-07,1202.79
TXN0057638,CUST003438,CAMP0018,,1281.67
TXN0003756,CUST006725,CAMP0063,2026-03-14,346.4
TXN0005173,CUST008762,CAMP0177,2025-01-03,1641.0
TXN0016731,CUST006523,CAMP0045,2023-01-14,1440.8
TXN0047252,CUST005288,CAMP0131,28 Apr 2025,480.75
TXN0003914,CUST003722,CAMP0009,19-10-2023,354.94
TXN0008858,CUST001226,CAMP0005,06/04/2024,"₹-1,538.95"
TXN0042093,CUST005479,CAMP0067,06/21/2026,711.2
TXN0024207,CUST001397,CAMP0049,10/12/2025,1040.5
TXN0034238,CUST004853,CAMP0205,06-08-2024,21815.43
TXN0029629,CUST009956,CAMP0202,2026-02-07,79.6
TXN0017685,CUST001878,CAMP0046,06/22/2024,18444.81
TXN0027478,CUST007412,CAMP0189,2026-05-11,908.94
TXN0007470,CUST009130,CAMP0038,01/17/2026,767.41
TXN0051131,CUST003525,CAMP0163,05/29/2025,1008.66
TXN0057819,CUST002310,CAMP0133,03-02-2023,357.08
TXN0046975,CUST005701,CAMP0036,2026-03-04,475.51
TXN0026766,CUST005099,,06 Mar 2026,733.53
TXN0037117,CUST002780,CAMP0112,2023-05-09,681.98
TXN0010068,CUST002591,CAMP0039,27-06-2026,416.91
TXN0005174,CUST000525,,2026-05-18,273.62
TXN0045736,CUST009988,CAMP0208,06-09-2025,4468.8
TXN0004504,CUST007405,CAMP0131,20-05-2026,416.8
TXN0052243,CUST008927,CAMP0150,22-04-2026,₹154.08
TXN0048820,CUST004889,CAMP0012,2023-06-15,3989.58
TXN0036495,CUST007785,CAMP0178,12/09/2024,2527.4
TXN0008712,CUST007226,CAMP0140,2025-07-01,635.09
TXN0010669,CUST003337,CAMP0026,13-01-2025,872.42
TXN0001557,CUST005913,CAMP0141,11/17/2023,638.39
TXN0040986,CUST002838,CAMP0191,2024-03-14,221.76
TXN0051421,CUST005471,CAMP0170,2024-10-22,2729.87
TXN0027328,CUST007410,CAMP0153,2023-04-08,1909.75
TXN0019848,CUST000881,CAMP0147,2023-04-08,1707.92
TXN0006778,CUST000776,CAMP0042,2025-10-12,853.62
TXN0046771,CUST004124,CAMP0197,2024-11-01,693.62
TXN0034062,CUST003967,CAMP0114,06-07-2025,855.23
TXN0020276,CUST008574,,06/29/2023,464.21
TXN0018582,CUST004536,CAMP0119,14-06-2024,489.37
TXN0013757,CUST003966,CAMP0049,12/07/2023,180.88
TXN0003590,CUST008167,CAMP0163,06/27/2023,234.97
TXN0052717,CUST000776,CAMP0100,2025-03-18,85.7
TXN0029840,CUST005083,CAMP0164,17-03-2026,1401.2
TXN0043668,CUST001612,CAMP0136,2025-10-07,376.55
TXN0026882,CUST008660,CAMP0134,05-09-2023,627.5
TXN0054015,CUST004916,CAMP0102,26-09-2024,2570.36
TXN0051638,CUST008809,,2025-03-22,1474.88
TXN0001894,CUST001856,CAMP0013,2026-03-13,360.29
TXN0057893,CUST005964,CAMP0193,2025-04-23,126.14
TXN0026798,CUST009654,CAMP0034,2025-01-15,454.11
TXN0033196,CUST008804,CAMP0081,2025-02-04,4346.1
TXN0006585,CUST009674,CAMP0142,13 May 2025,272.77
TXN0057425,CUST004946,CAMP0028,2025-11-09,339.89
TXN0013249,CUST009817,CAMP0036,,₹393.61
TXN0028585,CUST007247,CAMP0042,2025-11-16,61.74
TXN0050062,CUST003867,CAMP0039,2023-04-05,₹258.92
TXN0018941,CUST009617,,2024-11-29,1132.93
TXN0046336,CUST004629,CAMP0054,02/18/2025,374.42
TXN0000030,CUST000947,CAMP0019,2026-05-04,418.72
TXN0038509,CUST005584,CAMP0092,2024-08-07,184.12
TXN0029407,CUST002442,CAMP0145,22-02-2025,1712.85
TXN0031277,CUST005414,CAMP0064,2025-06-17,10577.31
TXN0035206,CUST008123,CAMP0127,2024-02-07,289.08
TXN0038415,CUST006314,CAMP0090,14-06-2024,304.23
TXN0020228,CUST006136,,05/27/2026,9054.49
TXN0003761,CUST002422,CAMP0076,2023-02-08,2746.72
TXN0015063,CUST005613,CAMP0205,09/15/2023,284.84
TXN0029628,CUST001439,CAMP0107,06 May 2025,431.34
TXN0020039,CUST006844,CAMP0069,28 Mar 2026,206.97
TXN0048579,CUST009356,CAMP0075,19-03-2023,177.61
TXN0027700,CUST006361,CAMP0168,08-02-2026,1075.88
TXN0030037,CUST007302,,2023-05-06,216.87
TXN0016873,CUST006479,CAMP0055,2025-05-21,2556.91
TXN0015855,CUST009897,CAMP0210,,₹306.64
TXN0036598,CUST004398,CAMP0183,2025-11-02,394.99
TXN0020252,CUST006357,CAMP0215,06/17/2024,628.87
TXN0011160,CUST005147,CAMP0014,11/30/2024,20020.37
TXN0034130,CUST000021,CAMP0073,06/27/2025,530.49
TXN0034767,CUST003757,,2023-04-23,856.33
TXN0047516,CUST004789,CAMP0049,08/05/2025,438.36
TXN0034209,CUST008535,CAMP0214,12/22/2023,912.12
TXN0028797,CUST003741,CAMP0121,2023-07-24,2766.78
TXN0037327,CUST002886,CAMP0058,2026-06-08,303.48
TXN0027047,CUST008176,CAMP0181,2023-09-08,1946.44
TXN0044718,CUST002105,CAMP0155,2025-06-29,2480.15
TXN0018724,CUST000762,CAMP0162,,459.78
TXN0055219,CUST009884,CAMP0153,2023-04-14,635.31
TXN0026145,CUST007804,CAMP0202,,569.05
TXN0004276,CUST007108,CAMP0047,,574.79
TXN0023879,CUST001939,CAMP0137,2025-12-23,1480.1
TXN0008592,CUST008838,,2023-07-25,2287.56
TXN0019185,CUST001333,CAMP0143,2025-05-15,234.65
TXN0025887,CUST005676,CAMP0040,2024-09-04,2861.33
TXN0037958,CUST000329,CAMP0176,10 May 2023,348.69
TXN0051620,CUST008947,CAMP0104,03-09-2023,787.16
TXN0015614,CUST009990,CAMP0113,07-01-2026,160.28
TXN0019724,CUST002865,CAMP0182,23-04-2025,287.76
TXN0004301,CUST007182,CAMP0199,26 Jan 2025,2581.44
TXN0000621,CUST007198,CAMP0160,2025-02-14,215.03
TXN0012207,CUST006427,CAMP0214,2023-12-15,152.48
TXN0056983,CUST003274,CAMP0213,2025-05-29,241.5
TXN0009546,CUST002106,CAMP0001,2024-08-18,1396.48
TXN0036553,CUST001498,CAMP0010,2023-04-26,344.13
TXN0012169,CUST003077,CAMP0012,2025-08-27,2010.69
TXN0039527,CUST008010,CAMP0040,2026-03-26,69.98
TXN0014976,CUST004572,CAMP0025,2024-09-11,1078.24
TXN0057509,CUST007066,CAMP0032,2025-09-11,₹399.86
TXN0044309,CUST008951,CAMP0007,13-01-2024,1954.78
TXN0017141,CUST002630,CAMP0148,2024-08-27,384.38
TXN0016833,CUST008360,CAMP0173,20 Mar 2023,491.02
TXN0032893,CUST006663,CAMP0060,2025-03-23,7490.91
TXN0013656,CUST002399,CAMP0060,29-01-2026,1619.23
TXN0003121,CUST008874,CAMP0025,05-12-2025,2022.78
TXN0030121,CUST004205,CAMP0116,15-11-2023,7182.15
TXN0013634,CUST004991,CAMP0001,06/26/2024,2466.51
TXN0024380,CUST005604,CAMP0132,05/07/2025,1737.58
TXN0051013,CUST006282,CAMP0167,30-06-2025,1071.28
TXN0043360,CUST007947,,2026-05-16,3377.27
TXN0057625,CUST004472,CAMP0090,2025-07-15,297.84
TXN0006953,CUST000074,CAMP0207,02/01/2026,74.4
TXN0051407,CUST008968,CAMP0203,08/14/2024,159.54
TXN0027827,CUST009029,,15-12-2023,2045.41
TXN0019121,CUST007078,CAMP0070,03/08/2023,1111.79
TXN0056148,CUST001696,CAMP0032,2023-11-26,267.23
TXN0034700,CUST009508,CAMP0150,2023-03-12,₹483.15
TXN0006185,CUST009495,CAMP0206,15-02-2023,300.46
TXN0016534,CUST007935,CAMP0134,2025-08-22,4041.2
TXN0012411,CUST005463,CAMP0123,06/20/2026,2180.48
TXN0055834,CUST007866,CAMP0023,2026-02-06,"₹1,288.14"
TXN0046285,CUST006585,CAMP0090,2026-01-07,3227.76
TXN0005746,CUST005023,CAMP0028,2024-06-02,373.19
TXN0050325,CUST002856,CAMP0214,15-05-2026,₹378.24
TXN0040998,CUST000761,CAMP0147,2025-04-04,721.28
TXN0056690,CUST005871,CAMP0107,2025-11-10,27645.7
TXN0013537,CUST000622,,2023-01-05,3447.29
TXN0056663,CUST009365,CAMP0064,2024-03-20,650.2
TXN0003753,CUST001135,CAMP0023,2025-05-26,"₹1,207.10"
TXN0001622,CUST004684,CAMP0039,2025-07-01,679.89
TXN0008320,CUST007087,,2026-05-10,810.72
TXN0010910,CUST009098,CAMP0096,,851.86
TXN0005631,CUST004132,CAMP0117,2024-10-08,3061.0
TXN0036368,CUST009992,CAMP0074,2025-04-13,323.12
TXN0007422,CUST009577,CAMP0131,2025-03-20,99.16
TXN0027611,CUST004198,CAMP0083,2025-08-17,377.62
TXN0035029,CUST002457,CAMP0196,21-04-2023,142.68
TXN0054852,CUST000007,CAMP0100,10/11/2025,1525.71
TXN0006007,CUST004281,CAMP0021,2025-04-07,2462.16
TXN0014673,CUST002879,CAMP0175,29-11-2025,587.16
TXN0039310,CUST009971,,2023-06-21,975.83
TXN0045529,CUST003272,,14-04-2026,158.41
TXN0018539,CUST000549,CAMP0024,2024-12-19,4109.42
TXN0005640,CUST005951,CAMP0078,25-01-2024,₹401.23
TXN0052306,CUST000566,CAMP0090,2026-05-06,584.99
TXN0044843,CUST006152,CAMP0029,02/23/2026,416.17
TXN0006545,CUST006331,CAMP0218,25 Nov 2023,275.02
TXN0026057,CUST005409,CAMP0056,2024-05-26,208.86
TXN0048709,CUST003535,CAMP0220,,"₹3,594.38"
TXN0053246,CUST003705,CAMP0105,2024-11-15,554.43
TXN0047074,CUST002206,CAMP0088,21 Apr 2023,687.04
TXN0027151,CUST005125,CAMP0144,2024-01-09,462.16
TXN0018528,CUST000581,CAMP0218,2024-12-22,149.16
TXN0057895,CUST009638,CAMP0059,06/18/2025,2099.8
TXN0030382,CUST009699,CAMP0003,2026-05-08,₹352.58
TXN0052324,CUST000782,CAMP0009,2025-06-23,4730.93
TXN0021874,CUST005532,CAMP0011,09/05/2025,7791.32
TXN0047352,CUST004316,CAMP0124,2025-10-07,530.52
TXN0056757,CUST006776,CAMP0037,2026-05-23,₹491.29
TXN0043856,CUST000116,,04/18/2024,68.71
TXN0027246,CUST007788,CAMP0001,2024-11-07,1255.4
TXN0045028,CUST003488,CAMP0194,01-06-2024,₹895.51
TXN0029348,CUST000179,CAMP0187,01/14/2025,582.85
TXN0019239,CUST005193,CAMP0062,17-11-2023,496.43
TXN0039264,CUST005389,CAMP0134,16 Oct 2025,₹257.13
TXN0045398,CUST007730,CAMP0133,2025-01-12,"₹2,065.20"
TXN0024826,CUST001023,CAMP0077,2026-04-16,"₹1,611.85"
TXN0055946,CUST009296,CAMP0174,18-08-2023,2850.08
TXN0028531,CUST008635,CAMP0031,2023-12-17,747.2
TXN0048794,CUST007263,CAMP0035,2024-02-26,441.47
TXN0051231,CUST003091,CAMP0137,08-06-2025,221.38
TXN0012861,CUST008625,CAMP0182,15-12-2023,618.18
TXN0050315,CUST009959,CAMP0157,2024-07-10,567.37
TXN0033117,CUST006970,CAMP0179,2025-08-06,2930.21
TXN0049635,CUST008563,CAMP0035,03/11/2025,258.19
TXN0025068,CUST005658,CAMP0043,2025-09-23,666.63
TXN0036601,CUST000229,,2025-06-22,1112.73
TXN0012259,CUST001238,,07/30/2025,2323.74
TXN0049736,CUST000497,CAMP0088,02/14/2026,102.6
TXN0037269,CUST003211,CAMP0153,2024-10-29,₹459.14
TXN0038244,CUST002884,CAMP0046,2025-07-25,701.72
TXN0056447,CUST001066,CAMP0186,2023-12-21,965.78
TXN0039432,CUST002038,CAMP0069,16-09-2024,392.84
TXN0004991,CUST004096,CAMP0130,08/18/2023,₹846.43
TXN0057887,CUST007151,CAMP0214,06/05/2024,686.92
TXN0030680,CUST004356,CAMP0155,02/17/2023,172.23
TXN0023577,CUST008287,CAMP0186,13-03-2026,196.61
TXN0025432,CUST004156,CAMP0146,,226.88
TXN0048096,CUST000594,CAMP0151,2025-01-03,940.93
TXN0007111,CUST001867,CAMP0210,2024-08-31,888.65
TXN0035364,CUST006351,,02/16/2026,200.73
TXN0056685,CUST005746,CAMP0093,16 Dec 2024,881.74
TXN0012748,CUST003016,CAMP0083,31-05-2023,301.17
